Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
500.000000	0.000601215	500.000000	0.000591739	500.000000	0.000584463	500.000000	0.000583838	500.000000	0.000591605	500.000000	1.33985e-07	
520.000000	0.000591137	520.000000	0.000582379	520.000000	0.000575275	520.000000	0.000574665	520.000000	0.00058225	520.000000	1.29202e-07	
540.000000	0.000581823	540.000000	0.000573746	540.000000	0.000566816	540.000000	0.000566215	540.000000	0.000573622	540.000000	1.2476e-07	
560.000000	0.000573195	560.000000	0.000565765	560.000000	0.000559002	560.000000	0.000558412	560.000000	0.000565644	560.000000	1.20624e-07	
580.000000	0.000565185	580.000000	0.00055837	580.000000	0.000551771	580.000000	0.000551191	580.000000	0.000558253	580.000000	1.16762e-07	
600.000000	0.000557735	600.000000	0.000551503	600.000000	0.000545063	600.000000	0.000544492	600.000000	0.00055139	600.000000	1.13147e-07	
620.000000	0.000550794	620.000000	0.000545116	620.000000	0.00053883	620.000000	0.000538267	620.000000	0.000545006	620.000000	1.09757e-07	
640.000000	0.000544316	640.000000	0.000539165	640.000000	0.000533027	640.000000	0.000532471	640.000000	0.000539058	640.000000	1.06571e-07	
660.000000	0.000538261	660.000000	0.00053361	660.000000	0.000527611	660.000000	0.000527065	660.000000	0.000533506	660.000000	1.0357e-07	
680.000000	0.000532594	680.000000	0.000528418	680.000000	0.000522549	680.000000	0.000522015	680.000000	0.000528318	680.000000	1.0074e-07	
700.000000	0.000527283	700.000000	0.000523559	700.000000	0.000517828	700.000000	0.00051729	700.000000	0.000523461	700.000000	9.80651e-08	
720.000000	0.000522301	720.000000	0.000519006	720.000000	0.000513425	720.000000	0.000512863	720.000000	0.00051891	720.000000	9.55332e-08	
740.000000	0.000517622	740.000000	0.000514734	740.000000	0.000509325	740.000000	0.000508744	740.000000	0.00051464	740.000000	9.31332e-08	
760.000000	0.000513223	760.000000	0.000510721	760.000000	0.00050553	760.000000	0.000504951	760.000000	0.000510631	760.000000	9.08547e-08	
780.000000	0.000509084	780.000000	0.000506949	780.000000	0.000501952	780.000000	0.000501383	780.000000	0.000506861	780.000000	8.86887e-08	
800.000000	0.000505187	800.000000	0.0005034 	800.000000	0.000498585	800.000000	0.000498024	800.000000	0.000503314	800.000000	8.66269e-08	
820.000000	0.000501515	820.000000	0.000500058	820.000000	0.000495414	820.000000	0.000494858	820.000000	0.000499973	820.000000	8.4662e-08	
840.000000	0.000498052	840.000000	0.000496908	840.000000	0.000492424	840.000000	0.000491871	840.000000	0.000496825	840.000000	8.27872e-08	
860.000000	0.000494786	860.000000	0.000493938	860.000000	0.0004896 	860.000000	0.000489052	860.000000	0.000493857	860.000000	8.09963e-08	
880.000000	0.000491702	880.000000	0.000491134	880.000000	0.00048693	880.000000	0.000486387	880.000000	0.000491055	880.000000	7.92838e-08	
900.000000	0.000488791	900.000000	0.000488488	900.000000	0.000484406	900.000000	0.000483867	900.000000	0.00048841	900.000000	7.76446e-08	
920.000000	0.000486041	920.000000	0.000485988	920.000000	0.000482017	920.000000	0.000481482	920.000000	0.000485912	920.000000	7.60741e-08	
940.000000	0.000483442	940.000000	0.000483625	940.000000	0.000479754	940.000000	0.000479223	940.000000	0.00048355	940.000000	7.45679e-08	
960.000000	0.000480986	960.000000	0.000481391	960.000000	0.00047761	960.000000	0.000477083	960.000000	0.000481318	960.000000	7.31221e-08	
980.000000	0.000478664	980.000000	0.000479279	980.000000	0.000475577	980.000000	0.000475053	980.000000	0.000479207	980.000000	7.17332e-08	
1000.000000	0.000476469	1000.000000	0.00047728	1000.000000	0.000473648	1000.000000	0.000473127	1000.000000	0.00047721	1000.000000	7.03978e-08	
1020.000000	0.000474394	1020.000000	0.00047539	1020.000000	0.000471817	1020.000000	0.000471299	1020.000000	0.000475321	1020.000000	6.91128e-08	
1040.000000	0.000472432	1040.000000	0.0004736 	1040.000000	0.000470078	1040.000000	0.000469563	1040.000000	0.000473533	1040.000000	6.78755e-08	
1060.000000	0.000470577	1060.000000	0.000471907	1060.000000	0.000468425	1060.000000	0.000467913	1060.000000	0.00047184	1060.000000	6.66831e-08	
1080.000000	0.000468824	1080.000000	0.000470305	1080.000000	0.000466853	1080.000000	0.000466345	1080.000000	0.000470239	1080.000000	6.55332e-08	
